Product Name,Original Price (€),Current Price (€),Promotion Percentage
Thomson TW148A,499.99,379.99,24.00%
Electrolux EOF4P46H,899.99,469.99,47.78%
Proline DWP49120WH,259.99,219.99,15.39%
Schneider SCTI63STSO,499.99,219.99,56.00%
Thomson TW148 DOSAGE AUTOMATIQUE,649.99,399.99,38.46%
Samsung WW80TA046AEA,699.99,449.99,35.71%
Electrolux COF4P46BX0,699.99,429.99,38.57%
Candy CSTSG 48TMVE/-47,599.99,399.99,33.33%
Candy CS12102DWB4/1-47,399.99,349.99,12.50%
Indesit BWE71484XWFRN,359.99,329.99,8.33%
Schneider SCOC71BK,499.99,269.99,46.00%
Indesit D2FHK26,499.99,349.99,30.00%
Indesit IFWS3841JPBL,549.99,349.99,36.36%
Electrolux EW7W4856SP,749.99,699.99,6.67%
Samsung WW90TA026AE,599.99,479.99,20.00%
Whirlpool TDLRB6252BSFR/N,649.99,499.99,23.08%
Samsung DV80TA220AE,899.99,749.99,16.67%
Bosch SERENITY WGG244ASFR I-Dos,799.99,649.99,18.75%
Samsung WW11BB534DAWS3 BESPOKE,899.99,699.99,22.22%
Samsung MS28F303TFS/EF,179.99,159.99,11.11%
Sharp YC-PS201AE-S,154.99,89.99,41.94%
Beko WTV95220W,499.99,379.99,24.00%
Proline P602IMCIBK,599.99,499.99,16.67%
Lg F94D14STS,699.99,479.99,31.43%
Moulinex MO32ECSL CROUSTY INOX,249.99,199.99,20.00%
Thomson TWBI914A ENCASTRABLE,499.99,399.99,20.00%
Haier HWD100-B14939-FR,799.99,649.99,18.75%
Tecnolec TSBS96WDSL,849.99,549.0,35.41%
Samsung MC28H5015CK,249.99,219.99,12.00%
Samsung RB34C600ESA,799.99,599.99,25.00%
Whirlpool W7IHF60TU CUVE MAXISPACE- ENCASTRABLE 60 CM,999.99,669.99,33.00%
Electrolux EW7H6832PP,899.99,599.99,33.33%
Whirlpool FFDD9469BSVFR Steam Hygiène,579.99,449.99,22.41%
Whirlpool TDLR6248FR/N,499.99,399.99,20.00%
Bosch WGG04419FR,699.99,599.99,14.29%
Siemens WM14N238FR - iQ300,599.99,499.99,16.67%
Bosch WAJ24078FR,599.99,449.99,25.00%
Electrolux EES28400L - ENCASTRABLE 60 CM,799.99,519.99,35.00%
Samsung WW11BGA046AEEF,799.99,599.99,25.00%
Whirlpool WBB8360NE,599.99,379.99,36.67%
Thomson THOMINOX38SILENCE,529.99,499.99,5.66%
Siemens SN23EW03ME,899.99,749.99,16.67%
Thomson TW151A,599.99,419.99,30.00%
Siemens SN63EX14CE - ENCASTRABLE 60CM,999.0,749.99,24.93%
Siemens WT45HV15FR,799.99,699.99,12.50%
De Dietrich DPI3673X,799.99,499.99,37.50%
Proline PTL5511D,349.99,299.99,14.29%
