Product Name,Original Price (€),Current Price (€),Promotion Percentage
Nike Air Force 1 PLT.AF.ORM,129.99,64.97,50.02%
Nike Dunk Low Twist,129.99,90.97,30.02%
Nike Air Max 97,144.99,72.47,50.02%
Nike Air Max Plus,140.0,84.47,39.66%
Nike Sportswear Club,54.99,35.97,34.59%
Nike Air Force 1 '07 LV8,119.99,77.97,35.02%
Nike Air Max TW,159.99,79.97,50.02%
Nike Sportswear Tech Fleece Windrunner,129.99,64.99,50.00%
Nike Force 1 LV8,74.99,59.99,20.00%
Nike Dunk Low,104.99,73.47,30.02%
Air Jordan 1 Mid SE,149.99,74.97,50.02%
Nike Sportswear Club Fleece,64.99,42.47,34.65%
Nike Air Max Plus,199.99,139.97,30.01%
Nike Dunk Low,129.99,90.97,30.02%
Nike Sportswear Club Fleece,54.99,32.97,40.04%
Nike Dunk Low,129.99,84.47,35.02%
Air Jordan 1 Low,129.99,64.99,50.00%
Air Jordan 1 High OG « Mauve »,189.99,94.97,50.01%
Nike Air Max Pulse,159.99,79.97,50.02%
Nike Club,69.99,45.47,35.03%
Nike Air Max Plus 3,199.99,129.97,35.01%
Nike Gamma Force,99.99,64.97,35.02%
Nike Air Max Terrascape Plus,199.99,139.97,30.01%
Nike Air Force 1 Low SP x UNDERCOVER,159.99,79.97,50.02%
