Brand,Description
FLEURS,FLEURS 4 Poinsettias rouges
CHIVAS REGAL,CHIVAS REGAL Scotch Whisky écossais 12 ans 40%
LINDT,LINDT Les Pyrénéens chocolats au lait
KINDER,KINDER Schokobons bonbons de chocolat fourrés au lait et aux noisettes
MAILLE,MAILLE Vinaigre balsamique de Modène IGP
MAILLE,MAILLE Cornichons extra fins cueillis main sélection grand croquant
MON BOUCHER,MON BOUCHER Côte de boeuf *** avec os à griller
PIERRE CHANAU,PIERRE CHANAU AOP Monbazillac moelleux blanc
CHARLES LAFITTE,CHARLES LAFITTE AOP Champagne brut Orgueil de France
GRANTS,GRANTS Scotch whisky écossais blended malt triple wood 40%
HEINEKEN,HEINEKEN Bière blonde 5% bouteilles
LINDT,"LINDT Champs-Elysées assortiment de chocolats au lait, noirs et blancs fourrés"
LINDT,"LINDT Champs Elysées édition Triomphe assortiment de bouchées au chocolat au lait, noir et blanc"
N/A,AOP Médoc Les Chevaux de Patache d'Aux rouge
